wallet,num_transactions,num_deposits,total_deposit_usd,num_borrows,total_borrow_usd,num_repays,total_repay_usd,repay_ratio,num_liquidations,activity_days,action_diversity
0x00099b1263c22ae2ce0a52624cef2a012e751970,2,2,1058147343307.2289,0,0.0,0,0.0,1.0,0,7.811921296296297,1
0x0009ce45d5df78e632a0b4987079432dfba2253a,1,1,32446847156.000053,0,0.0,0,0.0,1.0,0,0.0,1
0x000a27ba176083e4b50177378cbe7469a00dd557,12,4,277.8849972393591,2,160.3863100380374,2,160.22581757470164,0.9989993381399092,0,33.186087962962965,4
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,43,18,1.932663909054446e+16,8,73564641652974.1,5,13381.494379508398,1.819011698939936e-10,0,25.913368055555555,4
0x000ab43e658935ba39504a1424b01756c1e9644c,2,1,113652379383.43968,1,11365237938.343967,0,0.0,0.0,0,0.0005092592592592592,2
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,77,49,273511544478460.5,0,0.0,0,0.0,1.0,0,123.26833333333333,2
0x000c8e2871750f458bf1de8ab528dda09bc95db6,4,1,5480588573862458.0,1,2366767191230522.0,1,2366767191230522.0,1.0,0,0.0006944444444444445,4
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,71,20,187610630403321.75,20,963.8765146793129,17,933.0977900335208,0.9680677719842232,0,66.14396990740741,4
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,6,4,282105637602505.3,1,40.10267633402084,1,40.31433339845019,1.0052778787796213,0,30.66425925925926,3
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1,1,1218108806.2153707,0,0.0,0,0.0,1.0,0,0.0,1
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1,1,139205585052.03293,0,0.0,0,0.0,1.0,0,0.0,1
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,8,1,760406186165331.4,3,886.7244790708098,2,503.6501564107848,0.5679894581669326,0,80.57099537037037,4
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,8,6,7053997334319022.0,0,0.0,0,0.0,1.0,0,20.31818287037037,2
0x000e840a3122ec28d0c29321db172375cb049762,10,5,700190083689281.1,2,216.8257036891647,2,217.3913973215126,1.0026089786530055,0,26.296134259259258,4
0x000e9bd1d42999446d60ff60f1fb3afb13604202,22,8,66654123810212.97,6,34.630956155900854,4,35.37800801727156,1.021571794264289,0,1.9734722222222223,4
0x000eab293e332bd6e67018a9150e8807bfac3233,1,1,1097254760600.487,0,0.0,0,0.0,1.0,0,0.0,1
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,2,1,102377389231888.69,0,0.0,0,0.0,1.0,0,15.675266203703703,2
0x000f4432a40560bbff1b581a8b7aded8dab80026,25,7,3.1488764002887656e+16,6,17603.97911970302,3,17566.377247476397,0.9978640129046428,0,18.144305555555555,4
0x000f7f22bfc28d940d4b68e13213ab17cf107790,73,26,4.094270498824155e+19,19,3.4436280280110055e+19,13,3.433472565069429e+19,0.9970509407929746,0,2.827002314814815,4
0x000f908720f9ce164d90f4fc89459fab4442907f,96,32,1533514206332144.0,30,796443100395630.6,17,792775870146905.4,0.9953954899641876,0,1.3537152777777777,4
0x000fbfec300959d0f2f327728a889c1f5de8e2df,8,3,591428253568978.1,1,140010630600290.3,1,139700011487765.86,0.9977814605134434,0,8.035497685185184,4
0x0011730224657eb527cf736039854c3a3f140e63,4,1,1507324205025001.8,1,738025356182590.2,1,738025356182590.2,1.0,0,0.0015972222222222223,4
0x00120ea6fdbaf057eadc1bd149f957488444e92c,4,2,261125891711734.0,1,2.602967788219515,1,2.6163774015531507,1.005151663187814,0,0.05458333333333333,3
0x0012668072f7e0579caf7e047713d8b6d476d0db,2,2,2296181487521.5225,0,0.0,0,0.0,1.0,0,2.7753703703703705,1
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,231,101,1.838633810321085e+16,24,4965173744632387.0,93,935131957295062.5,0.1883382144091109,2,62.002928240740744,5
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,1,0,0.0,0,0.0,0,0.0,1.0,0,0.0,1
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1,1,204240431458.08832,0,0.0,0,0.0,1.0,0,0.0,1
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2,2,2.4353377818598245,0,0.0,0,0.0,1.0,0,6.0942592592592595,1
0x0014dfac19477a83d7354e6eaac28642c1959398,36,10,8.672151626282626e+16,6,18149.001627910842,9,18188.824774686098,1.002194233467587,0,30.192581018518517,4
0x001589fe1923c2118f34e4277f2ef650fcbf0161,30,19,3758467113608674.5,2,1419946916528212.8,0,0.0,0.0,0,132.77488425925927,3
0x00159370cbe576b765a7fb2e78582e0cb563d445,19,10,2451090777406979.5,7,2348736820286721.5,0,0.0,0.0,0,20.828761574074075,3
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,2,1,14.143677216766179,0,0.0,0,0.0,1.0,0,0.02034722222222222,2
0x0016469a65facda9e86fd0ae0e9661128843c224,2,1,20668510838.36642,1,4676133673.838556,0,0.0,0.0,0,0.0,2
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,1,1,202456720023.76752,0,0.0,0,0.0,1.0,0,0.0,1
0x00183135585d70a523d61b2e43037a7138b36906,54,15,1662229387057669.5,13,3849790053752160.5,10,1709073425633665.8,0.4439393841666597,0,57.14190972222222,4
0x00184e8aa1e95f491f2d9601e12b540092160ded,4,1,102305711108000.08,1,24984797105800.02,1,24984797105800.02,1.0,0,0.0008333333333333334,4
0x0018583d7654803d2c59467e10dec5f70bbe1851,72,72,260583128.6238107,0,0.0,0,0.0,1.0,0,22.195231481481482,1
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2,2,2.259609878203448,0,0.0,0,0.0,1.0,0,5.458935185185185,1
0x0018d044b946ede86b43bb3b964a45772a5abeb9,22,9,2.872033114686218e+16,2,1.1215514727063227,2,1.121345368530205,0.9998162329762535,0,53.29346064814815,4
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,5,0,0.0,1,79.00412443596895,2,158.72329212505053,2.0090507078993345,0,14.21355324074074,3
0x0019bd9f6142943f3a03a8a62d0001a95213f555,1,1,126608392264.04059,0,0.0,0,0.0,1.0,0,0.0,1
0x001b024b98ee862aa01eea595c4c16a0213d2611,2,1,901292526286305.1,1,498.74059439622636,0,0.0,0.0,0,0.0014351851851851852,2
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,32,10,46710787684152.52,6,234.87821429900868,7,235.2622310010467,1.0016349609229793,0,23.079467592592593,4
0x001bc97d92e1a30b02d4e75be25f06063555d556,45,12,1.1472342231228866e+17,10,54445.83740909293,9,54503.63129933802,1.0010614932746986,0,9.53417824074074,4
0x001be549fa377710b9e59d57bbdf593ce1e379ca,2,2,1586084926828.2158,0,0.0,0,0.0,1.0,0,20.678125,1
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,2,2,1812428653548.6912,0,0.0,0,0.0,1.0,0,9.698611111111111,1
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1,1,1565990185332.6885,0,0.0,0,0.0,1.0,0,0.0,1
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1,1,1.1337851305503868,0,0.0,0,0.0,1.0,0,0.0,1
0x001f96b7e19a54ae45f451b0148336504d03fdcf,1,1,566.6408226639782,0,0.0,0,0.0,1.0,0,0.0,1
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,6,5,1196303231679944.5,0,0.0,0,0.0,1.0,0,68.25821759259259,2
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,1,1,0.02360514637371101,0,0.0,0,0.0,1.0,0,0.0,1
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,1,0,0.0,0,0.0,0,0.0,1.0,0,0.0,1
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,2,2,1157956333789.6023,0,0.0,0,0.0,1.0,0,6.116898148148148,1
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1,1,1105702376236.7202,0,0.0,0,0.0,1.0,0,0.0,1
0x002379916ac42a432f3b53f16782d33267debb4c,1,1,1188650795292.2615,0,0.0,0,0.0,1.0,0,0.0,1
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2,2,2.259609878203448,0,0.0,0,0.0,1.0,0,5.45849537037037,1
0x0023d9ffe7d793895c5da5833d56c737832ead2b,2,2,15.189578905507386,0,0.0,0,0.0,1.0,0,0.0008564814814814815,1
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,1,1,5.129981410556754,0,0.0,0,0.0,1.0,0,0.0,1
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,2,2,3103305498262.0957,0,0.0,0,0.0,1.0,0,1.014375,1
0x0024461e7a8ce7157866eaa4c24b702d328250ce,1,0,0.0,0,0.0,0,0.0,1.0,0,0.0,1
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,1,1,26044090290.244564,0,0.0,0,0.0,1.0,0,0.0,1
0x00246f7813397868b1beec56e1677efa47816dae,44,30,7.438978731874703e+18,9,5.816299443463209e+18,2,5.472177717614791e+18,0.9408349365101606,0,21.02681712962963,4
0x0025a856d01a898bd52286d56c52323b13937b65,1,1,142202497421.8183,0,0.0,0,0.0,1.0,0,0.0,1
0x00261d225db379b3fc74cd0228d6f90582d39035,2,1,32239917783.138004,1,4713438272.3885975,0,0.0,0.0,0,0.0,2
0x00262ffcfda82b5582d1905ca05b849f196b0419,10,4,101.41967361600112,3,57.24285810787879,1,56.95340624693983,0.9949434414963442,0,3.7604166666666665,4
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,1,1,162091424281.99927,0,0.0,0,0.0,1.0,0,0.0,1
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1,1,1.8629892980475518,0,0.0,0,0.0,1.0,0,0.0,1
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,1,1,204590866403.1135,0,0.0,0,0.0,1.0,0,0.0,1
0x002775390698ef16589bb22bba37ae7906ae2f36,30,17,81790043756761.56,7,68522936271816.08,5,3386308266868.1675,0.04941861004664766,0,20.264166666666668,4
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1,1,1.8864509259060724,0,0.0,0,0.0,1.0,0,0.0,1
0x0027f7335d610f15b325baa5798414548720fcaa,13,6,646588504693710.6,2,1568.6763662421108,2,1571.6110933811847,1.0018708302121644,0,1.3520833333333333,4
0x00283b611db7844cb5677b311afd67c8e3078518,1,1,7.20152067392015,0,0.0,0,0.0,1.0,0,0.0,1
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,1,1,37375320100.34612,0,0.0,0,0.0,1.0,0,0.0,1
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2,2,2123490954986.433,0,0.0,0,0.0,1.0,0,3.714583333333333,1
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1,1,1.1058755718750974,0,0.0,0,0.0,1.0,0,0.0,1
0x002aea16059a7d4bef638a03b61a9e80ef07e745,41,12,2085940883981687.0,10,962299598210510.2,5,583822.8517532286,6.066955164887359e-10,0,82.66001157407408,4
0x002bb13a55bf4525f02717708dd4534ecc475193,2,2,3.1415513028579416,0,0.0,0,0.0,1.0,0,0.000787037037037037,1
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1,1,1.1597473478486582,0,0.0,0,0.0,1.0,0,0.0,1
